Country,Financial commitments,Humanitarian commitments,Military commitments,Share in total EU commitments,Alliance
Australia,0,0.07,0.39,0,non-NATO
Austria,0.04,0.89,0,1.1,non-NATO
Belgium,0.02,0.1,0.42,1.36,NATO
Bulgaria,0,0,0.26,0.22,NATO
Canada,3.71,0.38,1.63,0,NATO
Croatia,0,0.04,0.17,0.16,NATO
Cyprus,0,0,0,0.06,non-NATO
Czech Republic,0,0.4,0.61,0.55,NATO
Denmark,0.06,0.28,1.71,0.96,NATO
Estonia,0,0.01,0.46,0.07,NATO
Finland,0.08,0.02,1.21,0.65,NATO
France,0.76,0.34,0.48,6.52,NATO
Germany,1.41,2.04,8.15,7.97,NATO
Greece,0,0,0.2,0.54,NATO
Hungary,0,0.05,0,0.43,NATO
Iceland,0.01,0.01,0.01,0,NATO
Ireland,0.03,0.07,0,0.75,non-NATO
Italy,0.45,0.24,0.77,4.82,NATO
Japan,6.07,1.09,0.03,0,non-NATO
Latvia,0.03,0.01,0.4,0.08,NATO
Lithuania,0.03,0.07,0.53,0.12,NATO
Luxembourg,0,0,0.1,0.12,NATO
Malta,0,0,0,0.03,non-NATO
Netherlands,1.08,0.64,2.7,2.82,NATO
New Zealand,0,0.01,0.02,0,non-NATO
Norway,0.96,0.21,1.1,0,NATO
Poland,1.01,0.37,3.26,1.58,NATO
Portugal,0.27,0,0.08,0.54,NATO
South Korea,0.43,0.23,0,0,non-NATO
Romania,0,0.13,0,0.61,NATO
Slovakia,0,0.01,0.73,0.32,NATO
Slovenia,0,0.01,0.06,0.13,NATO
Spain,0.49,0.06,0.36,4.3,NATO
Sweden,0.22,0.15,1.62,1.29,non-NATO
Switzerland,0.04,0.38,0,0,non-NATO
Turkey,0,0.01,0.07,0,NATO
United Kingdom,4.22,0.29,7.15,0,NATO
United States,26.37,3.91,46.56,0,NATO
Taiwan,0,0.07,0,0,non-NATO